GDP2020Rank	GDP2000Rank	GDP1980Rank	GDP1960Rank	Country Name	AverageRank
138	157	114	74	Chad	120
59	99	198	130	Ethiopia	121
105	90	93	199	Cyprus	121
80	66	207	139	Croatia	123
77	83	201	133	Belarus	123
78	80	202	134	Uzbekistan	123
74	81	203	135	Tanzania	123
150	133	120	92	Bermuda	123
148	155	109	87	Togo	124
84	69	206	138	Slovenia	124
81	88	200	132	Lithuania	125
156	153	107	89	Fiji	126
101	57	209	141	Libya	127
85	104	197	129	Serbia	128
97	76	204	136	Lebanon	128
157	137	115	108	Barbados	129
98	114	189	121	Estonia	130
95	102	196	128	Latvia	130
158	178	111	73	Sierra Leone	130
135	112	72	202	Brunei Darussalam	130
88	118	194	126	Azerbaijan	131
159	151	123	93	Eswatini	131
100	107	195	127	Macao SAR, China	132
154	176	122	82	Guyana	133
164	171	117	80	Burundi	133
163	166	119	91	Suriname	134
166	168	118	90	Central African Republic	135
111	116	191	123	Bosnia and Herzegovina	135
124	125	104	192	Malta	136
116	141	96	195	Mali	137
126	115	190	122	Mozambique	138
123	132	185	117	Albania	139
117	138	186	118	Georgia	139
169	169	127	94	Lesotho	139
137	122	110	190	Mauritius	139
139	126	91	200	Namibia	139
118	139	187	119	Guinea	140
120	124	193	125	West Bank and Gaza	140
149	214	121	81	Somalia	141
172	173	130	96	Belize	142
170	175	128	106	Gambia, The	144
206	144	124	110	Liechtenstein	146
171	182	134	100	Cabo Verde	146
176	174	135	101	Antigua and Barbuda	146
173	167	132	115	St. Lucia	146
151	143	100	193	Monaco	146
178	180	133	99	Seychelles	147
167	184	136	102	Bhutan	147
145	149	113	189	Mauritania	149
142	163	144	149	Equatorial Guinea	149
177	190	129	107	Comoros	150
179	183	138	104	Grenada	151
175	188	139	105	Guinea-Bissau	151
210	161	125	111	Greenland	151
183	187	140	97	St. Vincent and the Grenadines	151
180	185	142	98	St. Kitts and Nevis	151
174	186	131	114	Solomon Islands	151
215	156	126	112	Andorra	152
182	192	137	103	Vanuatu	153
112	152	176	181	Lao PDR	155
203	91	199	131	Yemen, Rep.	156
186	191	141	113	Dominica	157
133	127	183	188	North Macedonia	157
160	179	145	150	Maldives	158
131	147	177	182	Armenia	159
205	135	108	191	New Caledonia	159
211	109	192	124	Channel Islands	159
212	134	101	194	French Polynesia	160
129	160	175	180	Mongolia	161
195	142	188	120	Turkmenistan	161
136	159	174	179	Moldova	162
146	158	173	178	Kyrgyz Republic	163
155	165	167	172	Montenegro	164
144	172	170	175	Tajikistan	165
161	181	162	167	Djibouti	167
162	170	169	174	Liberia	168
187	195	143	148	Tonga	168
192	198	146	151	Kiribati	171
147	213	161	166	Kosovo	171
168	189	165	170	Timor-Leste	173
194	199	147	152	Tuvalu	173
202	200	148	153	Sint Maarten (Dutch part)	175
198	201	149	154	South Sudan	175
201	164	166	171	San Marino	175
165	212	160	165	Curacao	175
199	202	150	155	St. Martin (French part)	176
193	204	152	157	Nauru	176
188	205	153	158	Sao Tome and Principe	176
185	206	154	159	American Samoa	176
200	203	151	156	Northern Mariana Islands	177
184	193	163	168	Samoa	177
208	154	172	177	Isle of Man	177
181	211	159	164	Turks and Caicos Islands	178
189	194	164	169	Micronesia, Fed. Sts.	179
213	162	168	173	Faroe Islands	179
216	148	178	183	Aruba	181
207	207	155	160	Korea, Dem. People's Rep.	182
204	208	156	161	Virgin Islands (U.S.)	182
152	215	181	186	Guam	183
153	216	182	187	Cayman Islands	184
209	209	157	162	Gibraltar	184
214	177	171	176	Eritrea	184
217	210	158	163	British Virgin Islands	187
190	196	179	184	Palau	187
191	197	180	185	Marshall Islands	188
